date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:06:08	327515/327515	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Oct%202024%2011:06:07%20GMT	https://carpentersshelter.org/	C:/My%20Web%20Sites/ShelterProject/carpentersshelter.org/index.html	(from )
07:06:08	137/137	---M-Z	200	added ('OK')	text/plain	etag:W/%2265cc72c1-b0%22	https://carpentersshelter.org/robots.txt		(from )
07:06:09	43154/43154	---M-Z	200	added ('OK')	text/css	etag:W/%2266e82537-a892%22	https://carpentersshelter.org/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.8.1	C:/My%20Web%20Sites/ShelterProject/carpentersshelter.org/wp-content/themes/astra/assets/css/minified/main.mina288.css	(from https://carpentersshelter.org/)
07:06:09	17495/17495	---M-Z	200	added ('OK')	text/css	etag:W/%22664b2d4d-4457%22	https://carpentersshelter.org/wp-content/plugins/custom-facebook-feed/assets/css/cff-style.min.css?ver=4.2.5	C:/My%20Web%20Sites/ShelterProject/carpentersshelter.org/wp-content/plugins/custom-facebook-feed/assets/css/cff-style.mind19b.css	(from https://carpentersshelter.org/)
07:06:09	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css?ver=6.6.2	C:/My%20Web%20Sites/ShelterProject/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min109c.css	(from https://carpentersshelter.org/)
07:06:09	49573/49573	---M-Z	200	added ('OK')	text/css	etag:W/%22670907cc-c1a5%22	https://carpentersshelter.org/wp-content/plugins/gravityforms/assets/css/dist/basic.min.css?ver=2.8.18	C:/My%20Web%20Sites/ShelterProject/carpentersshelter.org/wp-content/plugins/gravityforms/assets/css/dist/basic.mindf1a.css	(from https://carpentersshelter.org/)
07:06:10	0/0	---M--	200	added ('OK')	text/css	etag:%22670907cc-0%22	https://carpentersshelter.org/wp-content/plugins/gravityforms/assets/css/dist/theme-components.min.css?ver=2.8.18	C:/My%20Web%20Sites/ShelterProject/carpentersshelter.org/wp-content/plugins/gravityforms/assets/css/dist/theme-components.mindf1a.css	(from https://carpentersshelter.org/)
07:06:10	1757/1757	---M-Z	200	added ('OK')	text/css	etag:W/%22670907cc-6dd%22	https://carpentersshelter.org/wp-content/plugins/gravityforms/assets/css/dist/theme-ie11.min.css?ver=2.8.18	C:/My%20Web%20Sites/ShelterProject/carpentersshelter.org/wp-content/plugins/gravityforms/assets/css/dist/theme-ie11.mindf1a.css	(from https://carpentersshelter.org/)
07:06:10	32221/32221	---M-Z	200	added ('OK')	text/css	etag:W/%22670907cc-7ddd%22	https://carpentersshelter.org/wp-content/plugins/gravityforms/assets/css/dist/theme.min.css?ver=2.8.18	C:/My%20Web%20Sites/ShelterProject/carpentersshelter.org/wp-content/plugins/gravityforms/assets/css/dist/theme.mindf1a.css	(from https://carpentersshelter.org/)
07:06:10	630/630	---M-Z	200	added ('OK')	text/css	etag:W/%2266e82537-276%22	https://carpentersshelter.org/wp-content/themes/astra/assets/css/minified/compatibility/gravity-forms.min.css?ver=4.8.1	C:/My%20Web%20Sites/ShelterProject/carpentersshelter.org/wp-content/themes/astra/assets/css/minified/compatibility/gravity-forms.mina288.css	(from https://carpentersshelter.org/)
